Tweets	Country	Compound	Analysis
A view of Villa Pamphilj in Rome where the EU-led global health summit is about to start soon. On the agenda: how t… 	IT	0.0	Neutral
4 Are people in Africa refusing the vaccine? 🤔🤷‍♂️5 Is there a single #journalist in the UK, outside of Andrew Ne… 	IT	-0.4019	Negative
1 How do you know when an untested drugs is out of date? 🤷‍♂️2 How has a drug that was only created a few months… 	IT	0.25	Positive
Oh this is just perfect over #Covid19 and #Vaccines in #Africa as they complain they are not getting enough of the… 	IT	0.296	Positive
“Normally, I like very modern things,” he says, with a nod towards the more recently approved Johnson &amp; Johnson and… 	IT	0.6786	Positive
 I got my appointments for Covid vaccine!! 	IT	0.0	Neutral
The process of signing up for the Covid vaccine is so streamlined in Lazio. Just used an app, and got my 1st and 2n… 	IT	0.0	Neutral
  _Muay_Thai  _pablo01  If it’s the vaccine roll… 	IT	0.0	Neutral
Grant Agreement (Special Operations) for Grant 0787-REG: Systems Strengthening for Effective Coverage of New Vaccin… 	IT	0.926	Positive
Grant Agreement (Special Operations) for Grant 0789-REG: Systems Strengthening for Effective Coverage of New Vaccin… 	IT	0.926	Positive
 In fact the43.5% is (2 j&amp;J + mRNA doses given)/(2 population) that is “enough to cover” 43.5% . 48.5% i… 	IT	0.0	Neutral
I want my vaccine... I'm upset because I have to wait due to a medication I took lately. Give me my vaccine. 	IT	-0.3182	Negative
 _Chigi Dear  we haven’t got the vaccine for all we and answer at we take the vacci… 	IT	0.3818	Positive
   _  Purchase and use of a computer is more clos… 	IT	0.0	Neutral
Pfizer/BioNTech COVID-19 vaccine shelf-life extended from 5 to 31 days, says MHRA -  	IT	0.0	Neutral
 I feel like I should say congrats considering you’ve likely gotten the vaccine?	IT	0.7096	Positive
The doctor explains to patients a potential complication of the coronavirus vaccine.The 2nd shot, he says to aghas… 	IT	0.0	Neutral
NGOs Urge Moon, Biden to Make #SouthKorea Vaccine Manufacturing Hub - #USA 	IT	0.0	Neutral
6 Reasons College Vaccine Passports Are Absurd And Legally Objectionable 	IT	0.1027	Positive
Waiting for my vaccine dose omg	IT	0.0	Neutral
Surprisingly #Pakistan is managing vaccine disbursement in an amazing manner than many European countries.	IT	0.7184	Positive
Two AstraZeneca COVID shots 85-90% effective - UK real-world analysis 	IT	0.4767	Positive
   “Police Officers are like the general population. They are skeptical of the… 	IT	0.0516	Positive
As of 4 p.m. CET today, Italy's Lazio regional health authority says more than 2.8 million doses of COVID vaccine h… 	IT	0.0772	Positive
First vaccine booked for 9pm at Termini on Saturday as part of ’s over-40 evening weekend slots. It took 30 seconds on the app.	IT	0.0	Neutral
Be a part of Covid vaccines webinar scheduled for May 27, 2021. #vaccines #research #covid #vaccination… 	IT	0.0	Neutral
Because of vaccine inequity, the pandemic has shape-shifted in a matter of months. At the beginning of the year, No… 	IT	0.0258	Positive
Are we crazy this is an example of why the vaccine wont work. Variants, Covid will adapt you might as well put wate… 	IT	-0.0772	Negative
So the #EU are ignoring requests regarding the #Covid19 #vaccine rules?Yes it very much sounds like an urgent cri… 	IT	0.2177	Positive
Hearing that even the #FakeNews are revealing their #fascism and #hate against people refusing the #vaccine and wan… 	IT	-0.4019	Negative
Over 40 and have tessera sanitaria? Book your appointment for May 22 and 23 open days vaccination with AstraZeneca… 	IT	0.0	Neutral
Apparently the #FakeNews are starting to #hate people that do not want an untested #Covid19 #vaccine, because some… 	IT	-0.0572	Negative
     Thought it was 120. Vaccine bonus?	IT	0.5423	Positive
Covid-19 vaccine ingredients include SM-102, a toxic substance known to be harmful to humans and animalsConnectic… 	IT	0.0	Neutral
Watch, share. Billions of people are at risk as there are too few vaccines; while a few people have become billiona… 	IT	0.0258	Positive
The vaccine gave me the worst insomnia in my life.	IT	-0.6249	Negative
 no one said i had to get a vaccine that hasn’t even been out long enough to know the risks 	IT	-0.5106	Negative
 First: Economy✌️✌️ To save it, agree or not  Vaccine‼️ (I trust in my beloved  )	IT	0.7429	Positive
#CDC Director asked what the rules are for Facemasks and she states if you have had the #vaccine you do not have to… 	IT	0.0	Neutral
Most Canadians approve of a vaccine passport - at least for travel  #cdnpoli	IT	0.0	Neutral
 _reinap  Because the first weapon against a global virus is a vaccine, but the seco… 	IT	-0.1531	Negative
 Yes, of course. I mean people who have chosen not to have the vaccine. Some people also can’t be vacc… 	IT	0.4019	Positive
Matt Hancock announces announces surge testing and vaccine expansion – follow live 	IT	0.0	Neutral
#Taiwan to Receive 400,000 #AstraZeneca Vaccine Doses Amid #COVID19 Surge  	IT	0.0	Neutral
#contacttracing apps are evolving: the focus is increasingly moving from apps that can track if you’ve been near so… 	IT	0.0	Neutral
"""We trust the Russian vaccine.”  #SanMarino"	IT	0.5106	Positive
#ForzaInter Is the new italian vaccine. Ma qual #ReiThera ???	IT	0.0	Neutral
The #Taiwan, #US, #Japan, #UK, #Australia #GCTF on #COVID19 vaccine rollout was a boon for the 135 partic… 	IT	0.0	Neutral
@_HenryBolton    You'vee done the typical thing of citing conspiracy as a means to dismi… 	IT	-0.5267	Negative
 The vaccine can raise the dead?	IT	-0.6486	Negative
